Annexure II- S&P CNX Nifty Index : October 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for October 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost October 2012
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877452660,12868.7645,0.72,0.9,0.34,1.42,-6.19,0.06
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3079938872,15379.59456,0.87,0.85,0.23,1.88,0.35,0.06
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,17529.97673,0.99,0.41,0.09,0.82,-1.62,0.06
4,AXISBANK,Axis Bank Ltd.,BANKS,4144422760,30731.02774,1.73,1.68,0.6,1.67,4.1,0.06
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,24376.71229,1.37,0.57,0.15,0.85,-0.75,0.06
6,BANKBARODA,Bank of Baroda,BANKS,4111233830,12210.26828,0.69,1.25,0.39,1.85,-9.04,0.07
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,32261.04092,1.82,0.93,0.24,1.35,1.58,0.06
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,17760.29176,1,1.55,0.41,2.53,-8.97,0.07
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,8723.193083,0.49,0.58,0.11,1.25,-3.2,0.06
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19087293440,14689.81991,0.83,0.81,0.19,0.88,1.65,0.04
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,18435.11561,1.04,0.36,0.07,1.52,-4.42,0.05
12,COALINDIA,Coal India Ltd.,MINING,63163644000,21873.56992,1.23,0.65,0.19,1.02,-3.52,0.06
13,DLF,DLF Ltd.,CONSTRUCTION,3397134518,7374.918478,0.42,1.72,0.49,2.77,-13.05,0.06
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,849039565,22200.41533,1.25,0.21,0.03,1.22,6.74,0.05
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,15671.99728,0.88,0.65,0.19,1.2,-8.84,0.06
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,917406560,21038.74798,1.19,0.73,0.29,1.19,-0.04,0.06
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1388061768,15932.22405,0.9,0.67,0.2,1.32,5.29,0.06
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3076775700,117278.9977,6.61,0.88,0.45,1.45,-1.56,0.05
19,HDFCBANK,HDFC Bank Ltd.,BANKS,4719419210,115146.5927,6.49,0.99,0.57,0.99,0.8,0.06
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17940.47534,1.01,0.71,0.18,1.32,-0.02,0.06
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914579068,14990.98291,0.84,1.61,0.47,1.95,-3.44,0.06
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2161886533,56135.22225,3.16,0.29,0.06,1.14,0.14,0.05
23,ICICIBANK,ICICI Bank Ltd.,BANKS,11527275010,121059.4422,6.82,1.68,0.71,1.23,-0.81,0.06
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,15133197120,19987.89267,1.13,1.71,0.52,1.71,5.05,0.07
25,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,2871155755,113931.0339,6.42,0.77,0.24,1.63,-6.78,0.05
26,ITC,I T C Ltd.,CIGARETTES,7846813020,153322.0669,8.64,0.42,0.11,1.09,3.73,0.05
27,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,934833818,14895.96926,0.84,1.48,0.39,1.73,-9.08,0.06
28,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,4252866364,9895.768362,0.56,2.08,0.52,2.77,6.2,0.07
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3716050845,22602.17442,1.27,1.15,0.44,1.14,-6.94,0.08
30,LT,Larsen & Toubro Ltd.,ENGINEERING,1227621266,87732.95098,4.94,1.52,0.56,1.62,1.88,0.06
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,894035026,13442.82869,0.76,0.2,0.02,1.6,-4.95,0.07
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3069903780,40482.62846,2.28,0.94,0.33,1.6,2.28,0.06
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,19022.21313,1.07,0.81,0.19,1.24,6.46,0.05
34,NTPC,NTPC Ltd.,POWER,82454644000,21133.46122,1.19,0.78,0.31,0.85,-1.64,0.06
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,47508.94848,2.68,0.72,0.27,0.97,-4.4,0.07
36,PNB,Punjab National Bank,BANKS,3391786830,9825.235615,0.55,1.28,0.4,2.06,-12.13,0.07
37,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,16138.98646,0.91,0.68,0.29,0.98,-5.39,0.06
38,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2111324745,8073.350248,0.45,0.61,0.12,1.1,-0.69,0.06
39,RELIANCE,Reliance Industries Ltd.,REFINERIES,32374182590,133111.5876,7.5,1.17,0.5,1.31,-3.79,0.06
40,RELINFRA,Reliance Infrastructure Ltd.,POWER,2629900000,6355.295522,0.36,1.79,0.46,1.92,-12.67,0.07
41,SBIN,State Bank of India,BANKS,6710448380,54400.68579,3.06,1.51,0.55,1.76,-5.82,0.05
42,SESAGOA,Sesa Goa Ltd.,MINING,869101423,6674.636679,0.38,1.64,0.46,1.3,-0.03,0.07
43,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,680590050,5845.417792,0.33,1,0.38,1.61,-3.1,0.08
44,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,26082.94054,1.47,0.41,0.1,1.31,-0.2,0.07
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5415462482,45034.06388,2.54,1.48,0.42,1.8,-4.78,0.06
46,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,17175.15894,0.97,1.26,0.37,1.5,-0.84,0.07
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712144500,26147.96895,1.47,1.54,0.55,1.11,-2.17,0.05
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,66995.86905,3.77,0.57,0.14,0.9,1.51,0.06
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740952350,19510.61877,1.1,0.56,0.18,1.07,1.44,0.07
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4923662606,18154.9972,1.02,0.5,0.12,1.17,-7.98,0.05
,,,,,1775094.141,100,,,,,0.06
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Nov-2011 to 31-Oct-2012,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Oct-2012 to 31-Oct-2012,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Oct-2012,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,
